building_age,office_ratio,floor_efficiency,value_per_sqft,land_value_ratio,lotarea,bldgarea,officearea,numfloors,assessland,assesstot,yearbuilt,transaction_count,deed_count,mortgage_count,mta_accessibility_proxy,business_density_proxy,construction_activity_proxy,commercial_ratio,distress_score,target_high_vacancy_risk,BBL
64.0,0.622568093385214,2141.6666666666665,215.6498054474708,0.2923026956804157,2500.0,6425.0,4000.0,3.0,405000.0,1385550.0,1961.0,0.0,,,,,0.1105310977304507,1.0,0.0,0,40498000540
94.0,1.0,2450.5,180.14690879412365,0.1580020387359837,3080.0,9802.0,9802.0,4.0,279000.0,1765800.0,1931.0,0.0,,,,,0.3790360474544755,1.0,0.0,1,40503600400
103.0,0.6717647058823529,7083.333333333333,116.55529411764708,0.1538880813953488,13552.0,85000.0,57100.0,12.0,1524600.0,9907200.0,1922.0,0.0,,,,,0.9141862277397635,1.0,0.0,0,40498000110
94.0,0.8577322520984493,10543.5,168.4948072272016,0.1322666441508,8950.0,63261.0,54261.0,6.0,1409850.0,10659150.0,1931.0,0.0,,,,,0.5179786480175894,1.0,0.0,0,40498000050
37.0,0.7527680448493342,1783.75,89.05395935529081,0.1094192634560906,1764.0,14270.0,10742.0,8.0,139050.0,1270800.0,1988.0,0.0,,,,,0.0665283740683345,1.0,0.0,0,40498000180
76.0,1.0,12533.333333333334,125.61702127659576,0.0836509146341463,11934.0,37600.0,37600.0,3.0,395100.0,4723200.0,1949.0,0.0,,,,,0.5633358022647811,1.0,0.0,0,40497400510
43.0,1.0,4016.5,133.84787750529068,0.1104910714285714,8940.0,24099.0,24099.0,6.0,356400.0,3225600.0,1982.0,0.0,,,,,0.5620263947189493,1.0,0.0,0,40497800130
95.0,0.5102040816326531,3797.5,127.14944042132984,0.0787511649580615,3100.0,15190.0,7750.0,4.0,152100.0,1931400.0,1930.0,0.0,,,,,0.5395370511447899,1.0,0.0,0,40497800080
6.0,0.6545730566984225,15150.333333333334,87.64658643374183,0.0694719005930528,12300.0,90902.0,59502.0,6.0,553500.0,7967250.0,2019.0,0.0,,,,,0.4573396261783359,1.0,0.0,0,40506000370
16.0,0.5614231371671515,1117.25,79.24591631237413,0.1346886912325285,980.0,4469.0,2509.0,4.0,47700.0,354150.0,2009.0,0.0,,,,,0.7011616879346916,1.0,0.0,0,40506000690
14.0,0.5323590814196242,1197.5,83.04801670146138,0.1391402714932126,1140.0,4790.0,2550.0,4.0,55350.0,397800.0,2011.0,0.0,,,,,0.8305180849968116,1.0,0.0,0,40506000710
16.0,0.5531215772179627,1141.25,82.60679079956188,0.1443914081145584,1115.0,4565.0,2525.0,4.0,54450.0,377100.0,2009.0,0.0,,,,,0.129757336613397,1.0,0.0,1,40506000700
95.0,0.0,2094.0,47.06303724928367,0.5707762557077626,5000.0,4188.0,0.0,2.0,112500.0,197100.0,1930.0,0.0,,,,,0.1539624879159151,0.6809933142311366,0.0,1,40407500320
94.0,1.0,3496.0,53.28947368421053,0.1690821256038647,4100.0,6992.0,6992.0,2.0,63000.0,372600.0,1931.0,0.0,,,,,0.8069832285038392,1.0,0.0,0,40407500510
12.0,0.3816793893129771,786.0,86.73664122137404,0.2772277227722772,1470.0,1572.0,600.0,2.0,37800.0,136350.0,2013.0,0.0,,,,,0.3638387545241962,1.0,0.0,0,40413200290
12.0,0.3825136612021858,915.0,104.75409836065572,0.2699530516431925,1765.0,1830.0,700.0,2.0,51750.0,191700.0,2013.0,0.0,,,,,0.2838068283847994,1.0,0.0,1,40413200310
30.0,1.0,1715.0,99.0524781341108,0.2980132450331126,5000.0,3430.0,3430.0,2.0,101250.0,339750.0,1995.0,0.0,,,,,0.5737757964890778,1.0,0.0,0,40413000210
4.0,0.1992225651443528,7313.428571428572,47.22916748056413,0.1581983994044295,12984.0,51194.0,10199.0,7.0,382500.0,2417850.0,2021.0,0.0,,,,,0.3285015842347202,1.0,0.0,1,40507600610
36.0,0.24,1000.0,72.675,0.3034055727554179,1311.0,2000.0,480.0,2.0,44100.0,145350.0,1989.0,0.0,,,,,0.2586231636072881,1.0,0.0,0,40506301160
8.0,0.6974015088013411,2187.1666666666665,186.64558408900405,0.1394451589197134,5000.0,13123.0,9152.0,6.0,341550.0,2449350.0,2017.0,0.0,,,,,0.4271380408783103,0.8762478091899718,0.0,0,40503900270
94.0,1.0,2669.333333333333,374.3631368631368,0.1726208345842089,2900.0,8008.0,8008.0,3.0,517500.0,2997900.0,1931.0,0.0,,,,,0.1052123985327314,1.0,0.0,1,40504100310
48.0,0.5024875621890548,33500.0,117.05820895522388,0.1984087518647439,25935.0,100500.0,50500.0,3.0,2334150.0,11764350.0,1977.0,0.0,,,,,0.9611278781122228,1.0,0.0,0,40512100200
54.0,1.0,2500.0,63.9,0.2647887323943662,2500.0,5000.0,5000.0,2.0,84600.0,319500.0,1971.0,0.0,,,,,0.8616017397348964,1.0,0.0,0,40408300370
75.0,0.5,5605.0,47.32827832292596,0.2290076335877862,6000.0,11210.0,5605.0,2.0,121500.0,530550.0,1950.0,0.0,,,,,0.752651338484386,1.0,0.0,0,40413600010
27.0,0.0,9928.4,75.94577172555498,0.3652423012652184,29821.0,24821.0,0.0,2.5,688500.0,1885050.0,1998.0,0.0,,,,,0.302166284553067,1.0,0.0,1,41240603120
