Model,ROC-AUC,Accuracy,Precision@10%,F1-Score
Logistic Regression (Baseline),0.9999671800257637,0.9962928637627433,1.0,0.9962961505540489
Random Forest,0.9913232193112729,0.959221501390176,1.0,0.9591477951941545
XGBoost,0.9986256635788541,0.9786839666357738,1.0,0.978595890502031
