Model,Accuracy,ROC-AUC,Precision@10%,F1-Score
Logistic Regression,0.8165392633773454,0.8823076427967192,0.875,0.8145859459707808
Random Forest,0.8422515635858235,0.9197308654235168,0.9066666666666666,0.8395128081183216
